t_wall,sim_t,vio_x,vio_y,vio_z,qx,qy,qz,qw,gt_x,gt_y
1776746360.8914013,157.3,8.137411,120.973579,2.20591,0.695489,-0.039497,0.076046,-0.713408,25.164642333984375,-3.7215194702148438
1776746360.9916642,157.3,8.137411,120.973579,2.20591,0.695489,-0.039497,0.076046,-0.713408,25.164642333984375,-3.7215194702148438
1776746361.091927,157.4,8.140415,120.989342,2.204308,0.695515,-0.038605,0.075159,-0.713526,25.164642333984375,-3.7215194702148438
1776746361.1921546,157.4,8.140415,120.989342,2.204308,0.695515,-0.038605,0.075159,-0.713526,25.164642333984375,-3.7215194702148438
1776746361.2923875,157.4,8.140415,120.989342,2.204308,0.695515,-0.038605,0.075159,-0.713526,25.164642333984375,-3.7215194702148438
1776746361.392619,157.4,8.140415,120.989342,2.204308,0.695515,-0.038605,0.075159,-0.713526,25.164642333984375,-3.7215194702148438
1776746361.4928544,157.4,8.140415,120.989342,2.204308,0.695515,-0.038605,0.075159,-0.713526,25.249919891357422,-3.7277908325195312
1776746361.5931087,157.4,8.140415,120.989342,2.204308,0.695515,-0.038605,0.075159,-0.713526,25.249919891357422,-3.7277908325195312
1776746361.6933477,157.4,8.140415,120.989342,2.204308,0.695515,-0.038605,0.075159,-0.713526,25.249919891357422,-3.7277908325195312
1776746361.7940629,157.5,8.153038,121.068382,2.207512,0.695902,-0.03711,0.073456,-0.713406,25.249919891357422,-3.7277908325195312
1776746361.8942683,157.5,8.153038,121.068382,2.207512,0.695902,-0.03711,0.073456,-0.713406,25.249919891357422,-3.7277908325195312
1776746361.994512,157.5,8.153038,121.068382,2.207512,0.695902,-0.03711,0.073456,-0.713406,25.249919891357422,-3.7277908325195312
1776746362.0947275,157.5,8.153038,121.068382,2.207512,0.695902,-0.03711,0.073456,-0.713406,25.33653450012207,-3.732572078704834
1776746362.1949303,157.5,8.153038,121.068382,2.207512,0.695902,-0.03711,0.073456,-0.713406,25.33653450012207,-3.732572078704834
1776746362.2954614,157.5,8.153038,121.068382,2.207512,0.695902,-0.03711,0.073456,-0.713406,25.33653450012207,-3.732572078704834
1776746362.395832,157.6,8.162603,121.146904,2.212105,0.696286,-0.035422,0.071897,-0.713276,25.33653450012207,-3.732572078704834
1776746362.496043,157.6,8.162603,121.146904,2.212105,0.696286,-0.035422,0.071897,-0.713276,25.33653450012207,-3.732572078704834
1776746362.5962691,157.6,8.162603,121.146904,2.212105,0.696286,-0.035422,0.071897,-0.713276,25.33653450012207,-3.732572078704834
1776746362.6965003,157.6,8.162603,121.146904,2.212105,0.696286,-0.035422,0.071897,-0.713276,25.33653450012207,-3.732572078704834
1776746362.79675,157.6,8.162603,121.146904,2.212105,0.696286,-0.035422,0.071897,-0.713276,25.42024803161621,-3.738311529159546
1776746362.8969805,157.6,8.162603,121.146904,2.212105,0.696286,-0.035422,0.071897,-0.713276,25.42024803161621,-3.738311529159546
1776746362.9972243,157.6,8.162603,121.146904,2.212105,0.696286,-0.035422,0.071897,-0.713276,25.42024803161621,-3.738311529159546
1776746363.0974612,157.7,8.173548,121.232826,2.213264,0.696578,-0.034812,0.071307,-0.71308,25.42024803161621,-3.738311529159546
1776746363.1976721,157.7,8.173548,121.232826,2.213264,0.696578,-0.034812,0.071307,-0.71308,25.42024803161621,-3.738311529159546
1776746363.3049822,157.7,8.173548,121.232826,2.213264,0.696578,-0.034812,0.071307,-0.71308,25.42024803161621,-3.738311529159546
1776746363.405205,157.7,8.173548,121.232826,2.213264,0.696578,-0.034812,0.071307,-0.71308,25.42024803161621,-3.738311529159546
1776746363.5054092,157.7,8.173548,121.232826,2.213264,0.696578,-0.034812,0.071307,-0.71308,25.509252548217773,-3.7408621311187744
1776746363.6055984,157.7,8.173548,121.232826,2.213264,0.696578,-0.034812,0.071307,-0.71308,25.509252548217773,-3.7408621311187744
1776746363.70582,157.8,8.183688,121.317513,2.21814,0.697107,-0.033249,0.069673,-0.712799,25.509252548217773,-3.7408621311187744
1776746363.8060095,157.8,8.183688,121.317513,2.21814,0.697107,-0.033249,0.069673,-0.712799,25.509252548217773,-3.7408621311187744
1776746363.9062498,157.8,8.183688,121.317513,2.21814,0.697107,-0.033249,0.069673,-0.712799,25.509252548217773,-3.7408621311187744
1776746364.0064526,157.8,8.183688,121.317513,2.21814,0.697107,-0.033249,0.069673,-0.712799,25.509252548217773,-3.7408621311187744
