time,wx,wy,yaw,pitch,roll,imu_ax,imu_ay,imu_az
1774366904.694,-164.693,0.752,0.1518,0.0446,-0.0049,-0.4367,-0.0474,9.7900
1774366904.800,-164.644,0.759,0.1518,0.0411,-0.0049,-0.4029,-0.0474,9.7914
1774366904.912,-164.594,0.767,0.1518,0.0372,-0.0042,-0.4988,-0.1612,9.7772
1774366905.034,-164.545,0.774,0.1518,0.0303,-0.0009,-0.2968,-0.0097,9.7951
1774366905.170,-164.496,0.782,0.1518,0.0285,-0.0010,-0.2798,-0.0101,9.7957
1774366905.285,-164.446,0.790,0.1518,0.0266,-0.0010,-0.2611,-0.0104,9.7960
1774366905.393,-164.397,0.797,0.1518,0.0233,-0.0011,-0.2286,-0.0108,9.7969
1774366905.513,-164.347,0.805,0.1518,0.0197,-0.0012,0.3435,2.0264,11.7037
1774366905.618,-164.298,0.812,0.1518,0.0168,-0.0040,-0.1644,-0.0389,9.7982
1774366905.723,-164.248,0.820,0.1518,0.0157,-0.0049,-0.1544,-0.0482,9.7986
1774366905.835,-164.199,0.827,0.1518,0.0158,-0.0049,-0.1546,-0.0481,9.7986
1774366905.956,-164.150,0.835,0.1518,0.0158,-0.0049,-0.1547,-0.0480,9.7986
1774366906.069,-164.100,0.842,0.1518,0.0158,-0.0049,-0.1549,-0.0479,9.7986
1774366906.203,-164.051,0.850,0.1518,0.0158,-0.0049,-0.1550,-0.0478,9.7986
1774366906.306,-164.001,0.858,0.1518,0.0167,-0.0025,-0.1089,-0.0865,9.7973
1774366906.409,-163.952,0.865,0.1518,0.0202,0.0033,-0.0053,-0.1356,9.7590
1774366906.512,-163.902,0.873,0.1518,0.0299,0.0144,0.2019,-0.2634,9.6717
1774366906.621,-163.853,0.880,0.1518,0.0373,0.0220,0.1364,-0.2482,9.7155
1774366906.732,-163.804,0.888,0.1518,0.0384,0.0229,-0.3762,0.2237,9.7902
1774366906.855,-163.754,0.895,0.1518,0.0384,0.0228,-0.3761,0.2236,9.7902
1774366906.963,-163.705,0.903,0.1518,0.0384,0.0228,-0.3761,0.2235,9.7902
1774366907.071,-163.655,0.911,0.1518,0.0384,0.0228,-0.3760,0.2235,9.7902
1774366907.174,-163.606,0.918,0.1518,0.0384,0.0228,-0.3760,0.2235,9.7902
1774366907.279,-163.556,0.926,0.1518,0.0384,0.0228,-0.3760,0.2234,9.7902
1774366907.394,-163.507,0.933,0.1518,0.0384,0.0228,-0.3760,0.2234,9.7902
1774366907.513,-163.458,0.941,0.1518,0.0384,0.0228,-0.3759,0.2234,9.7902
1774366907.622,-163.408,0.948,0.1518,0.0384,0.0228,-0.3759,0.2234,9.7902
1774366907.732,-163.359,0.956,0.1518,0.0384,0.0228,-0.3759,0.2234,9.7902
1774366907.844,-163.309,0.963,0.1518,0.0383,0.0224,-0.3359,0.2504,9.7906
1774366907.965,-163.260,0.971,0.1518,0.0381,0.0219,-0.3729,0.2141,9.7905
1774366908.075,-163.210,0.979,0.1518,0.0372,0.0219,-0.3642,0.2142,9.7909
1774366908.207,-163.161,0.986,0.1518,0.0363,0.0219,-0.3559,0.2142,9.7912
1774366908.314,-163.112,0.994,0.1518,0.0354,0.0219,-0.3472,0.2143,9.7915
1774366908.418,-163.062,1.001,0.1518,0.0346,0.0219,-0.3386,0.2143,9.7918
1774366908.566,-163.013,1.009,0.1518,0.0336,0.0219,-0.3296,0.2143,9.7921
1774366908.695,-162.963,1.016,0.1518,0.0327,0.0217,-0.2855,0.2399,9.7925
1774366908.808,-162.914,1.024,0.1518,0.0319,0.0201,-0.3124,0.1969,9.7929
1774366908.910,-162.864,1.032,0.1518,0.0310,0.0186,-0.3037,0.1821,9.7935
1774366909.021,-162.815,1.039,0.1518,0.0301,0.0171,-0.2951,0.1672,9.7940
1774366909.125,-162.766,1.047,0.1518,0.0293,0.0156,-0.2501,0.1814,9.7948
1774366909.237,-162.716,1.054,0.1518,0.0293,0.0140,-0.2914,0.1432,9.7947
1774366909.346,-162.667,1.062,0.1518,0.0293,0.0125,-0.2871,0.1224,9.7949
1774366909.468,-162.617,1.069,0.1518,0.0293,0.0110,-0.2871,0.1075,9.7951
1774366909.571,-162.568,1.077,0.1518,0.0293,0.0094,-0.2871,0.0926,9.7953
1774366909.681,-162.519,1.084,0.1518,0.0293,0.0079,-0.2871,0.0777,9.7954
1774366909.788,-162.469,1.092,0.1518,0.0293,0.0064,-0.2871,0.0628,9.7955
1774366909.891,-162.420,1.100,0.1518,0.0293,0.0049,-0.2871,0.0478,9.7956
1774366909.998,-162.370,1.107,0.1518,0.0293,0.0034,-0.2871,0.0329,9.7957
1774366910.108,-162.321,1.115,0.1518,0.0293,0.0018,-0.2871,0.0180,9.7957
1774366910.210,-162.271,1.122,0.1518,0.0293,0.0004,-0.2871,0.0036,9.7957
1774366910.326,-162.222,1.130,0.1518,0.0293,-0.0012,-0.2871,-0.0119,9.7957
1774366910.431,-162.173,1.137,0.1518,0.0292,-0.0026,-1.7938,-1.2019,9.7873
1774366910.544,-162.123,1.145,0.1518,0.0272,-0.0026,-0.2665,-0.0257,9.7963
1774366910.657,-162.074,1.153,0.1518,0.0253,-0.0026,-0.2475,-0.0257,9.7968
1774366910.773,-162.024,1.160,0.1518,0.0234,-0.0026,-0.2293,-0.0257,9.7972
1774366910.887,-161.975,1.168,0.1518,0.0215,-0.0026,-0.2103,-0.0257,9.7977
1774366911.004,-161.925,1.175,0.1518,0.0195,-0.0026,-0.1913,-0.0256,9.7980
1774366911.119,-161.876,1.183,0.1518,0.0175,-0.0026,-0.1715,-0.0256,9.7984
1774366911.223,-161.827,1.190,0.1518,0.0155,-0.0028,-0.2215,-0.0838,9.7964
1774366911.330,-161.777,1.198,0.1518,0.0113,-0.0037,-0.1166,-0.0415,9.7988
1774366911.439,-161.728,1.205,0.1518,0.0069,-0.0042,-0.0718,-0.0457,9.7992
1774366911.547,-161.678,1.213,0.1518,0.0019,-0.0047,-0.0221,-0.0492,9.7994
1774366911.654,-161.629,1.221,0.1518,-0.0024,-0.0044,0.0277,-0.0402,9.7995
1774366911.764,-161.579,1.228,0.1518,-0.0063,-0.0040,0.0652,-0.0370,9.7994
1774366911.879,-161.530,1.236,0.1518,-0.0101,-0.0037,0.1017,-0.0345,9.7991
1774366912.002,-161.481,1.243,0.1518,-0.0137,-0.0035,0.1362,-0.0326,9.7988
1774366912.105,-161.431,1.251,0.1518,-0.0175,-0.0033,0.1730,-0.0310,9.7982
1774366912.229,-161.382,1.258,0.1518,-0.0209,-0.0031,0.2065,-0.0299,9.7976
1774366912.340,-161.332,1.266,0.1518,-0.0246,-0.0030,0.2426,-0.0289,9.7968
1774366912.460,-161.283,1.274,0.1518,-0.0261,-0.0045,0.2554,-0.0442,9.7963
1774366912.573,-161.233,1.281,0.1518,-0.0266,-0.0066,0.1921,-0.1185,9.7961
1774366912.675,-161.184,1.289,0.1518,-0.0277,-0.0066,0.2722,-0.0636,9.7960
1774366912.780,-161.135,1.296,0.1518,-0.0288,-0.0065,0.2829,-0.0630,9.7957
1774366912.885,-161.085,1.304,0.1518,-0.0299,-0.0064,0.2931,-0.0625,9.7954
1774366913.001,-161.036,1.311,0.1518,-0.0310,-0.0064,0.3040,-0.0621,9.7951
1774366913.106,-160.986,1.319,0.1518,-0.0320,-0.0063,0.3143,-0.0618,9.7947
1774366913.220,-160.937,1.326,0.1518,-0.0331,-0.0063,0.3246,-0.0616,9.7944
1774366913.322,-160.887,1.334,0.1518,-0.0341,-0.0063,0.3348,-0.0615,9.7941
1774366913.440,-160.838,1.342,0.1518,-0.0351,-0.0063,0.3445,-0.0613,9.7937
1774366913.548,-160.789,1.349,0.1518,-0.0362,-0.0063,0.3550,-0.0612,9.7934
1774366913.664,-160.739,1.357,0.1518,-0.0365,-0.0068,0.3580,-0.0667,9.7932
1774366913.773,-160.690,1.364,0.1518,-0.0365,-0.0076,0.3580,-0.0743,9.7932
1774366913.876,-160.640,1.372,0.1518,-0.0365,-0.0084,0.3579,-0.0824,9.7931
1774366913.985,-160.591,1.379,0.1518,-0.0365,-0.0092,0.3579,-0.0903,9.7930
1774366914.092,-160.542,1.387,0.1518,-0.0365,-0.0100,0.3579,-0.0981,9.7930
1774366914.211,-160.492,1.395,0.1518,-0.0365,-0.0108,0.3578,-0.1059,9.7929
1774366914.315,-160.443,1.402,0.1518,-0.0365,-0.0116,0.3578,-0.1138,9.7928
1774366914.420,-160.393,1.410,0.1518,-0.0365,-0.0124,0.3578,-0.1216,9.7927
1774366914.540,-160.344,1.417,0.1518,-0.0365,-0.0132,0.3578,-0.1294,9.7926
1774366914.645,-160.294,1.425,0.1518,-0.0352,-0.0139,1.2379,0.6312,9.8621
1774366914.748,-160.245,1.432,0.1518,-0.0309,-0.0148,0.2533,-0.1483,9.8350
1774366914.860,-160.196,1.440,0.1518,-0.0256,-0.0156,0.2517,-0.1522,9.7949
1774366914.990,-160.146,1.447,0.1518,-0.0201,-0.0164,0.1975,-0.1603,9.7961
1774366915.100,-160.097,1.455,0.1518,-0.0146,-0.0173,0.1432,-0.1684,9.7969
1774366915.242,-160.047,1.463,0.1518,-0.0090,-0.0181,0.0889,-0.1765,9.7975
1774366915.352,-159.998,1.470,0.1518,-0.0035,-0.0189,0.0342,-0.1850,9.7977
1774366915.455,-159.948,1.478,0.1518,0.0029,-0.0191,-0.0278,-0.1864,9.7975
1774366915.566,-159.899,1.485,0.1518,0.0092,-0.0191,-0.0900,-0.1865,9.7971
1774366915.670,-159.850,1.493,0.1518,0.0161,-0.0191,-0.1575,-0.1866,9.7963
1774366915.793,-159.800,1.500,0.1518,0.0226,-0.0186,-0.1295,-1.0446,8.8680
1774366915.897,-159.751,1.508,0.1518,0.0299,-0.0122,0.3101,-0.6774,9.7060
1774366916.006,-159.701,1.516,0.1518,0.0299,-0.0123,-0.2926,-0.1202,9.7949
1774366916.109,-159.652,1.523,0.1518,0.0299,-0.0123,-0.2924,-0.1203,9.7949
1774366916.220,-159.602,1.531,0.1518,0.0298,-0.0123,-0.2924,-0.1204,9.7949
1774366916.324,-159.553,1.538,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366916.430,-159.504,1.546,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366916.539,-159.454,1.553,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366916.657,-159.405,1.561,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366916.768,-159.355,1.568,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366916.880,-159.306,1.576,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366916.992,-159.256,1.584,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366917.096,-159.207,1.591,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366917.204,-159.158,1.599,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366917.308,-159.108,1.606,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366917.419,-159.059,1.614,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366917.527,-159.009,1.621,0.1518,0.0298,-0.0123,-0.2921,-0.1207,9.7949
1774366917.637,-158.960,1.629,0.1518,0.0297,-0.0120,-0.2414,-0.1740,9.7944
1774366917.742,-158.911,1.637,0.1518,0.0308,-0.0103,-0.3117,-0.0830,9.7894
1774366917.849,-158.861,1.644,0.1518,0.0329,-0.0074,-0.0822,-0.2898,9.7622
1774366917.952,-158.812,1.652,0.1518,0.0383,-0.0022,-0.3614,-0.0363,9.7921
1774366918.064,-158.762,1.659,0.1518,0.0379,-0.0025,-0.3719,-0.0238,9.7925
1774366918.170,-158.713,1.667,0.1518,0.0387,-0.0024,-0.3833,-0.0202,9.7922
1774366918.277,-158.663,1.674,0.1518,0.0408,-0.0020,-0.4033,-0.0170,9.7915
1774366918.388,-158.614,1.682,0.1518,0.0428,-0.0017,-0.4217,-0.0145,9.7907
1774366918.496,-158.565,1.689,0.1518,0.0447,-0.0015,-0.4402,-0.0125,9.7900
1774366918.598,-158.515,1.697,0.1518,0.0467,-0.0013,-0.4588,-0.0109,9.7891
1774366918.711,-158.466,1.705,0.1518,0.0485,-0.0011,-0.4764,-0.0097,9.7883
1774366918.821,-158.416,1.712,0.1518,0.0502,-0.0010,-0.4929,-0.0089,9.7875
1774366918.954,-158.367,1.720,0.1518,0.0521,-0.0009,-0.5106,-0.0081,9.7866
1774366919.060,-158.317,1.727,0.1518,0.0537,-0.0008,-0.5268,-0.0076,9.7858
1774366919.173,-158.268,1.735,0.1518,0.0546,-0.0006,-0.5355,-0.0056,9.7850
1774366919.287,-158.219,1.742,0.1518,0.0549,-0.0007,-0.5373,-0.0063,9.7850
1774366919.406,-158.169,1.750,0.1518,0.0549,-0.0006,-0.5373,-0.0061,9.7850
1774366919.526,-158.120,1.758,0.1518,0.0549,-0.0006,-0.5373,-0.0060,9.7851
1774366919.636,-158.070,1.765,0.1518,0.0548,-0.0007,-0.5372,-0.0065,9.7850
1774366919.748,-158.021,1.773,0.1518,0.0548,-0.0007,-0.5372,-0.0063,9.7850
1774366919.861,-157.971,1.780,0.1518,0.0548,-0.0006,-0.5372,-0.0061,9.7851
1774366919.989,-157.922,1.788,0.1518,0.0548,-0.0006,-0.5372,-0.0060,9.7851
1774366920.112,-157.873,1.795,0.1518,0.0548,-0.0006,-0.5372,-0.0059,9.7852
1774366920.235,-157.823,1.803,0.1518,0.0548,-0.0006,-0.5372,-0.0058,9.7852
1774366920.345,-157.774,1.810,0.1518,0.0549,-0.0006,-0.5377,-0.0053,9.7852
1774366920.455,-157.724,1.818,0.1518,0.0549,-0.0006,-0.5374,-0.0055,9.7852
1774366920.572,-157.675,1.826,0.1518,0.0549,-0.0006,-0.5374,-0.0055,9.7852
1774366920.679,-157.625,1.833,0.1518,0.0549,-0.0006,-0.5373,-0.0055,9.7852
1774366920.801,-157.576,1.841,0.1518,0.0549,-0.0006,-0.5373,-0.0055,9.7852
1774366920.910,-157.527,1.848,0.1518,0.0549,-0.0006,-0.5373,-0.0055,9.7852
1774366921.015,-157.477,1.856,0.1518,0.0549,-0.0006,-0.5373,-0.0055,9.7853
1774366921.130,-157.428,1.863,0.1518,0.0549,-0.0006,-0.5373,-0.0055,9.7853
1774366921.237,-157.378,1.871,0.1518,0.0549,-0.0006,-0.5373,-0.0055,9.7853
1774366921.362,-157.329,1.879,0.1518,0.0549,-0.0006,-0.5372,-0.0056,9.7853
1774366921.468,-157.279,1.886,0.1518,0.0550,0.0001,-0.6765,-0.5009,9.3033
1774366921.573,-157.230,1.894,0.1518,0.0576,0.0058,-0.5047,-0.0176,9.7845
1774366921.681,-157.181,1.901,0.1518,0.0508,0.0105,-0.4963,0.1059,9.7851
1774366921.799,-157.131,1.909,0.1518,0.0398,0.0101,-1.8834,-1.8143,12.4524
1774366921.910,-157.082,1.916,0.1518,0.0287,0.0087,-0.2075,-0.0024,9.7942
1774366922.021,-157.032,1.924,0.1518,0.0186,0.0090,-0.1802,0.0928,9.7964
