1774445319.058,-164.8929,0.4975,0.1337
1774445319.078,-164.8830,0.4989,0.1337
1774445319.108,-164.8750,0.4999,0.1337
1774445319.116,-164.8671,0.5010,0.1336
1774445319.133,-164.8611,0.5018,0.1336
1774445319.153,-164.8552,0.5026,0.1336
1774445319.173,-164.8452,0.5039,0.1336
1774445319.192,-164.8353,0.5053,0.1336
1774445319.212,-164.8254,0.5066,0.1336
1774445319.230,-164.8175,0.5077,0.1336
1774445319.266,-164.8095,0.5088,0.1335
1774445319.267,-164.8036,0.5096,0.1334
1774445319.287,-164.7937,0.5109,0.1333
1774445319.307,-164.7838,0.5123,0.1332
1774445319.327,-164.7739,0.5136,0.1331
1774445319.344,-164.7659,0.5147,0.1331
1774445319.372,-164.7620,0.5152,0.1330
1774445319.380,-164.7560,0.5160,0.1330
1774445319.400,-164.7461,0.5173,0.1329
1774445319.417,-164.7382,0.5184,0.1328
1774445319.436,-164.7283,0.5197,0.1327
1774445319.458,-164.7185,0.5210,0.1327
1774445319.640,-164.7106,0.5220,0.1326
1774445319.642,-164.7027,0.5231,0.1325
1774445319.643,-164.6928,0.5244,0.1324
1774445319.645,-164.6829,0.5257,0.1324
1774445319.646,-164.6731,0.5270,0.1323
1774445319.647,-164.6652,0.5280,0.1322
1774445319.649,-164.6592,0.5288,0.1322
1774445319.662,-164.6514,0.5298,0.1321
1774445319.663,-164.6415,0.5311,0.1321
1774445319.665,-164.6316,0.5324,0.1321
1774445319.682,-164.6218,0.5338,0.1322
1774445319.711,-164.6139,0.5348,0.1322
1774445319.717,-164.6080,0.5356,0.1322
1774445319.735,-164.5981,0.5369,0.1322
1774445319.755,-164.5882,0.5382,0.1321
1774445319.775,-164.5784,0.5395,0.1320
1774445319.793,-164.5705,0.5405,0.1320
1774445319.830,-164.5626,0.5416,0.1319
1774445319.831,-164.5547,0.5426,0.1319
1774445319.849,-164.5448,0.5439,0.1318
1774445319.869,-164.5350,0.5452,0.1317
1774445319.886,-164.5271,0.5462,0.1317
1774445319.907,-164.5192,0.5472,0.1316
1774445319.945,-164.5133,0.5480,0.1316
1774445319.946,-164.5054,0.5490,0.1315
1774445319.963,-164.4956,0.5502,0.1315
1774445319.983,-164.4858,0.5515,0.1314
1774445320.003,-164.4760,0.5527,0.1313
1774445320.026,-164.4682,0.5537,0.1313
1774445320.057,-164.4623,0.5544,0.1312
1774445320.070,-164.4564,0.5552,0.1312
1774445320.087,-164.4485,0.5563,0.1312
1774445320.106,-164.4386,0.5576,0.1312
1774445320.126,-164.4287,0.5589,0.1312
1774445320.149,-164.4208,0.5599,0.1311
1774445320.181,-164.4129,0.5609,0.1311
1774445320.188,-164.4069,0.5617,0.1311
1774445320.206,-164.3970,0.5630,0.1310
1774445320.226,-164.3871,0.5643,0.1310
1774445320.247,-164.3772,0.5656,0.1310
1774445320.268,-164.3693,0.5666,0.1310
1774445320.364,-164.3634,0.5674,0.1309
1774445320.365,-164.3594,0.5679,0.1309
1774445320.366,-164.3495,0.5692,0.1309
1774445320.367,-164.3396,0.5705,0.1309
1774445320.368,-164.3317,0.5716,0.1309
1774445320.386,-164.3218,0.5729,0.1309
1774445320.421,-164.3159,0.5737,0.1310
1774445320.424,-164.3100,0.5745,0.1310
1774445320.444,-164.3003,0.5757,0.1312
1774445320.464,-164.2906,0.5770,0.1315
1774445320.484,-164.2810,0.5782,0.1318
1774445320.502,-164.2733,0.5792,0.1320
1774445320.538,-164.2675,0.5800,0.1322
1774445320.546,-164.2637,0.5805,0.1323
1774445320.564,-164.2541,0.5817,0.1326
1774445320.585,-164.2444,0.5830,0.1328
1774445320.602,-164.2367,0.5840,0.1331
1774445320.621,-164.2271,0.5852,0.1334
1774445320.677,-164.2213,0.5860,0.1335
1774445320.682,-164.2135,0.5870,0.1338
1774445320.684,-164.2057,0.5880,0.1340
1774445320.701,-164.1978,0.5890,0.1342
1774445320.721,-164.1879,0.5904,0.1344
1774445320.741,-164.1780,0.5917,0.1345
1774445320.784,-164.1721,0.5925,0.1345
1774445320.785,-164.1681,0.5931,0.1345
1774445320.799,-164.1621,0.5939,0.1345
1774445320.818,-164.1522,0.5952,0.1346
1774445320.838,-164.1422,0.5966,0.1347
1774445320.859,-164.1322,0.5980,0.1349
1774445320.878,-164.1241,0.5991,0.1352
1774445320.907,-164.1180,0.6000,0.1353
1774445320.921,-164.1119,0.6009,0.1355
1774445320.941,-164.1018,0.6023,0.1358
1774445320.961,-164.0917,0.6038,0.1361
1774445320.981,-164.0815,0.6052,0.1364
1774445320.999,-164.0734,0.6064,0.1366
1774445321.023,-164.0673,0.6073,0.1368
1774445321.038,-164.0612,0.6082,0.1369
1774445321.057,-164.0511,0.6096,0.1372
1774445321.076,-164.0409,0.6111,0.1375
1774445321.096,-164.0308,0.6126,0.1378
1774445321.114,-164.0227,0.6138,0.1380
1774445321.141,-164.0145,0.6149,0.1382
1774445321.154,-164.0064,0.6161,0.1384
1774445321.170,-163.9963,0.6176,0.1387
1774445321.190,-163.9861,0.6191,0.1390
1774445321.210,-163.9760,0.6206,0.1392
1774445321.253,-163.9678,0.6218,0.1395
1774445321.259,-163.9597,0.6230,0.1397
1774445321.269,-163.9496,0.6245,0.1400
1774445321.289,-163.9395,0.6259,0.1403
1774445321.310,-163.9296,0.6272,0.1409
1774445321.336,-163.9217,0.6281,0.1416
1774445321.358,-163.9139,0.6290,0.1422
1774445321.365,-163.9060,0.6300,0.1429
1774445321.388,-163.8962,0.6311,0.1437
1774445321.449,-163.8883,0.6320,0.1444
1774445321.453,-163.8785,0.6332,0.1452
1774445321.513,-163.8706,0.6341,0.1458
1774445321.515,-163.8647,0.6348,0.1463
1774445321.516,-163.8569,0.6357,0.1470
1774445321.517,-163.8470,0.6369,0.1478
1774445321.526,-163.8391,0.6379,0.1484
1774445321.545,-163.8292,0.6391,0.1490
1774445321.566,-163.8233,0.6399,0.1492
1774445321.607,-163.8193,0.6404,0.1494
1774445321.608,-163.8113,0.6415,0.1495
1774445321.625,-163.8013,0.6428,0.1495
1774445321.657,-163.7933,0.6439,0.1494
1774445321.665,-163.7872,0.6447,0.1493
1774445321.685,-163.7792,0.6457,0.1492
1774445321.709,-163.7751,0.6462,0.1492
1774445321.809,-163.7711,0.6467,0.1492
1774445321.812,-163.7630,0.6477,0.1491
1774445321.816,-163.7530,0.6492,0.1490
1774445321.817,-163.7452,0.6504,0.1488
1774445321.818,-163.7353,0.6518,0.1487
1774445321.819,-163.7275,0.6530,0.1486
1774445321.866,-163.7196,0.6542,0.1484
1774445321.867,-163.7097,0.6556,0.1483
1774445321.873,-163.6998,0.6570,0.1482
1774445321.894,-163.6899,0.6585,0.1480
1774445321.914,-163.6801,0.6600,0.1479
1774445321.944,-163.6702,0.6614,0.1477
1774445321.955,-163.6643,0.6623,0.1476
1774445321.974,-163.6544,0.6637,0.1475
1774445321.991,-163.6465,0.6649,0.1474
1774445322.010,-163.6366,0.6664,0.1473
1774445322.027,-163.6287,0.6675,0.1472
1774445322.060,-163.6208,0.6687,0.1471
1774445322.068,-163.6168,0.6693,0.1470
1774445322.084,-163.6089,0.6705,0.1469
1774445322.103,-163.6010,0.6717,0.1468
1774445322.122,-163.5950,0.6725,0.1468
1774445322.142,-163.5852,0.6740,0.1466
1774445322.162,-163.5772,0.6752,0.1465
1774445322.188,-163.5713,0.6761,0.1465
1774445322.199,-163.5634,0.6773,0.1464
1774445322.219,-163.5535,0.6788,0.1463
1774445322.239,-163.5436,0.6802,0.1461
1774445322.256,-163.5357,0.6814,0.1461
1774445322.277,-163.5258,0.6829,0.1459
1774445322.299,-163.5198,0.6838,0.1459
1774445322.313,-163.5119,0.6850,0.1458
1774445322.333,-163.5020,0.6864,0.1456
1774445322.349,-163.4941,0.6876,0.1455
1774445322.370,-163.4842,0.6891,0.1453
1774445322.387,-163.4763,0.6902,0.1451
1774445322.411,-163.4684,0.6914,0.1450
1774445322.443,-163.4585,0.6929,0.1448
1774445322.449,-163.4486,0.6943,0.1446
1774445322.469,-163.4387,0.6958,0.1444
1774445322.486,-163.4308,0.6970,0.1443
1774445322.518,-163.4229,0.6981,0.1441
1774445322.524,-163.4170,0.6990,0.1440
1774445322.546,-163.4071,0.7004,0.1438
1774445322.563,-163.3991,0.7016,0.1437
1774445322.585,-163.3893,0.7030,0.1435
1774445322.604,-163.3813,0.7042,0.1434
1774445322.622,-163.3734,0.7053,0.1432
1774445322.642,-163.3675,0.7062,0.1431
1774445322.659,-163.3576,0.7077,0.1429
1774445322.685,-163.3477,0.7091,0.1428
1774445322.699,-163.3378,0.7105,0.1426
1774445322.717,-163.3298,0.7116,0.1425
1774445322.735,-163.3239,0.7125,0.1425
1774445322.754,-163.3179,0.7133,0.1424
1774445322.773,-163.3080,0.7147,0.1423
1774445322.793,-163.2980,0.7161,0.1422
1774445322.810,-163.2901,0.7172,0.1421
1774445322.835,-163.2801,0.7186,0.1419
1774445322.856,-163.2722,0.7197,0.1418
1774445322.870,-163.2642,0.7208,0.1417
1774445322.890,-163.2543,0.7222,0.1416
1774445322.909,-163.2444,0.7236,0.1415
1774445323.013,-163.2344,0.7250,0.1414
1774445323.046,-163.2265,0.7261,0.1413
1774445323.052,-163.2185,0.7273,0.1412
1774445323.054,-163.2126,0.7281,0.1412
1774445323.056,-163.2027,0.7295,0.1410
1774445323.058,-163.1947,0.7306,0.1410
1774445323.060,-163.1848,0.7319,0.1408
1774445323.102,-163.1769,0.7331,0.1407
1774445323.103,-163.1709,0.7339,0.1407
1774445323.104,-163.1610,0.7353,0.1406
1774445323.120,-163.1511,0.7366,0.1405
1774445323.143,-163.1411,0.7380,0.1404
1774445323.157,-163.1332,0.7391,0.1403
1774445323.200,-163.1253,0.7402,0.1402
